Product_ID,Product type,Tax_DE,Product_name_DE,Code,Stock_DE,Product_description_DE,Showcase_Mixins,Grape_DE,Country_DE,Region_DE,Winery_DE,Vintage,Image_1,Image_2,Image_3,Image_4,Product_name_EN,Product_description_EN,Grape_EN,Country_EN,Region_EN,Winery_EN
https://github.com/neteleven/showcase-data-importer.git,BASIC,STANDARD_19,Chardonnay,8970-7820,18,"Der Chardonnay der Domaine Leflaive aus dem Jahr 2018 ist ein wahrer Genuss für Liebhaber von französischem Weißwein. Die Reben gedeihen auf den kalkhaltigen Böden der berühmten Weinregion Burgund und bringen einen Wein hervor, der durch seine Komplexität und Finesse beeindruckt. Die Aromen von reifen Äpfeln und Zitrusfrüchten harmonieren perfekt mit einer feinen Mineralität und einer subtilen Eichenholznote. Im Mund zeigt sich der Chardonnay vollmundig und rund, mit einer angenehmen Frische und einer langen, intensiven Nachgeschmack. Der Wein passt hervorragend zu Fisch, Meeresfrüchten und hellem Fleisch. Mit einem Preis von 50€ ist er ein wahrer Geheimtipp für anspruchsvolle Genießer.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Chardonnay,Frankreich,Burgund,Domaine Leflaive,2018,552a83c7-6a22-4ac3-9624-a3d213d6dc4c.png,00c6d4bd-e642-48e2-9296-c0b89cadbc18.png,bc3db5fe-1c5a-49e0-9a2d-5b7f829749fb.png,f32c15f7-de38-411a-9eba-d8e934177e4a.png,Chardonnay,"The 2018 Chardonnay from Domaine Leflaive is a real treat for lovers of French white wine. The vines thrive on the chalky soils of the famous Burgundy wine region and produce a wine that impresses with its complexity and finesse. The aromas of ripe apples and citrus fruits harmonise perfectly with a fine minerality and a subtle hint of oak. In the mouth, the Chardonnay is full-bodied and round, with a pleasant freshness and a long, intense aftertaste. The wine is an excellent accompaniment to fish, seafood and white meat. At a price of €50, it is a real insider tip for discerning connoisseurs.",Chardonnay,France,Burgundy,Domaine Leflaive
4c7323c7-42af-49e3-83d3-f6da,BASIC,STANDARD_19,Merlot,5144-9481,5,"Dieser Merlot aus der Toskana ist ein wahrer Genuss. Hergestellt von Antinori, einem der renommiertesten Weingüter Italiens, besticht er durch seine tiefrote Farbe und ein volles Aroma von dunklen Beeren und Gewürzen. Am Gaumen zeigt er eine sanfte Struktur und eine ausgewogene Balance zwischen Frucht und Tanninen. Der Jahrgang 2017 war ein hervorragendes Jahr für die Toskana und dieser Merlot ist ein perfektes Beispiel dafür. Ein idealer Begleiter zu gegrilltem Fleisch, reifem Käse oder dunkler Schokolade.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Merlot,Italien,Toskana,Antinori,2017,7ab68cf8-d047-43cd-a3fe-eb24cd95e74d.png,5cec65ea-440e-4577-815f-dedabf50fd7f.png,950aaf0b-4653-4844-89f3-2395e8f0c168.png,e5a86fc4-4330-4af0-99b4-b504882db727.png,Merlot,"This Merlot from Tuscany is a real treat. Produced by Antinori, one of Italy's most renowned wineries, it impresses with its deep red colour and a full aroma of dark berries and spices. On the palate, it has a gentle structure and a good balance between fruit and tannins. The 2017 vintage was an excellent year for Tuscany and this Merlot is a perfect example of this. An ideal accompaniment to grilled meat, mature cheese or dark chocolate.",Merlot,Italy,Tuscany,Antinori
36279c6e-31f1-4cb2-a11b-c1c0,BASIC,STANDARD_19,Riesling,3156-9630,14,"Dieser deutsche Riesling stammt von dem renommierten Weingut Dr. Loosen an der Mosel. Der Jahrgang 2019 besticht durch eine helle goldgelbe Farbe und Aromen von Aprikosen, Pfirsichen und Zitrusfrüchten. Am Gaumen ist er frisch und fruchtig mit einer angenehmen Säure und einer leichten Süße. Der Wein eignet sich besonders gut als Begleiter zu asiatischen Gerichten und scharfen Speisen.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Riesling,Deutschland,Mosel,Dr. Loosen,2019,509cb487-5410-4d20-96e7-fec0b46b7d86.png,62cefe0a-4fcc-4f61-9212-509f1b63911d.png,f86dfafb-b742-4502-b391-3ad1ab7abaf1.png,a94e3e61-9155-4d7a-a913-eb470439c44b.png,Riesling,"This German Riesling comes from the renowned Dr Loosen winery on the Moselle. The 2019 vintage impresses with a light golden yellow colour and aromas of apricots, peaches and citrus fruits. It is fresh and fruity on the palate with a pleasant acidity and a slight sweetness. The wine is particularly suitable as an accompaniment to Asian dishes and spicy food.",Riesling,Germany,Moselle,Dr. Loosen
5d4c5324-89a8-4db1-8ee8-0c69,BASIC,STANDARD_19,Cabernet Sauvignon,1819-9412,4,"Dieser Cabernet Sauvignon stammt aus dem renommierten Caymus Vineyards im Napa Valley, Kalifornien. Der Jahrgang 2016 präsentiert sich in einer tiefroten Farbe und verströmt Aromen von dunklen Früchten, Vanille und Gewürzen. Am Gaumen ist er vollmundig und kräftig mit einer ausgewogenen Säure und feinen Tanninen. Dieser Wein passt besonders gut zu gegrilltem Fleisch und kräftigen Saucen.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Cabernet Sauvignon,USA,Napa Valley,Caymus Weingärten,2016,c6e78a08-21f4-4483-a81b-a4967b01424f.png,9870f0c3-08c0-4c06-8488-09c8e19dc393.png,e8e3734e-5e8f-4cc9-98b1-98de274f13bf.png,4055fd9c-1020-4528-9341-3c0dae0f0243.png,Cabernet Sauvignon,"This Cabernet Sauvignon comes from the renowned Caymus Vineyards in Napa Valley, California. The 2016 vintage has a deep red colour and exudes aromas of dark fruits, vanilla and spices. On the palate, it is full-bodied and powerful with a balanced acidity and fine tannins. This wine goes particularly well with grilled meat and strong sauces.",Cabernet Sauvignon,USA,Napa Valley,Caymus Vineyards
d1271284-4ec4-4a4b-a0b8-3b33,BASIC,STANDARD_19,Spätburgunder,5011-7330,19,"Dieser neuseeländische Pinot Noir stammt von der renommierten Cloudy Bay Kellerei in der Region Marlborough. Der Jahrgang 2018 besticht durch eine helle kirschrote Farbe und Aromen von roten Früchten, Gewürzen und feiner Eiche. Am Gaumen ist er elegant und ausgewogen mit einer feinen Säure und samtigen Tanninen. Der Wein passt besonders gut zu Wildgerichten und Pilzgerichten.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Spätburgunder,Neuseeland,Marlborough,Bewölkte Bucht,2018,47e929e2-ec8c-4991-8d30-776e854b808a.png,661d1392-d9f1-4507-9882-22b74d746461.png,2169b252-b49d-4494-b6d2-cd665a0155b5.png,a1a270b2-f82d-4b3a-94d6-18c5bad47739.png,Pinot Noir,"This New Zealand Pinot Noir comes from the renowned Cloudy Bay winery in the Marlborough region. The 2018 vintage impresses with a bright cherry red colour and aromas of red fruits, spices and fine oak. It is elegant and balanced on the palate with a fine acidity and velvety tannins. The wine goes particularly well with game and mushroom dishes.",Pinot Noir,New Zealand,Marlborough,Cloudy Bay
6ca5b97a-3387-4d6c-bf2a-ffcc,BASIC,STANDARD_19,Sauvignon Weiß,3309-6945,3,"Dieser erfrischende Sauvignon Blanc stammt aus der renommierten Weinregion Marlborough in Neuseeland und wurde von dem angesehenen Weingut Villa Maria hergestellt. Der Jahrgang 2020 besticht durch seine fruchtige Aromatik mit Noten von grünem Apfel, Limette und Grapefruit, die von einer angenehmen Säure begleitet wird. Dieser Wein ist ein perfekter Begleiter zu leichten Gerichten wie Salaten, Fisch und Meeresfrüchten.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Sauvignon Weiß,Neuseeland,Marlborough,Villa Maria,2020,986021ca-2208-4761-a690-3f431b3446ea.png,9bf78fee-1a97-4a80-865f-189be217c935.png,f8a94591-ffb5-4b3d-ace1-ce53f26ab231.png,591c8472-949e-4526-bde3-74f9b1617917.png,Sauvignon White,"This refreshing Sauvignon Blanc comes from the renowned Marlborough wine region in New Zealand and was produced by the prestigious Villa Maria winery. The 2020 vintage is characterised by its fruity aroma with notes of green apple, lime and grapefruit, accompanied by a pleasant acidity. This wine is a perfect accompaniment to light dishes such as salads, fish and seafood.",Sauvignon White,New Zealand,Marlborough,Villa Maria
b7ca48b6-75a1-48d3-a077-1de8,BASIC,STANDARD_19,Tempranillo,8109-4574,8,"Dieser Tempranillo stammt aus der renommierten Weinregion Rioja in Spanien und wurde von dem renommierten Weingut Bodegas Muga produziert. Der Jahrgang 2016 besticht durch seine intensive Aromatik mit Noten von reifen dunklen Früchten, Gewürzen und Tabak. Am Gaumen ist er vollmundig mit weichen Tanninen und einem langen Abgang. Dieser Wein ist ein perfekter Begleiter zu gegrilltem Fleisch, Käse und Tapas.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Tempranillo,Spanien,Rioja,Bodegas Muga,2016,75abd0a6-9e4e-4fe9-a728-dcb896dbcbec.png,1385808a-7023-4980-b551-b1f09d9af727.png,8dd7d864-c502-44c9-9822-f41188a3ed74.png,20fad334-e5ee-4f16-a069-c9820a7e068d.png,Tempranillo,"This Tempranillo comes from the renowned Rioja wine region in Spain and was produced by the renowned Bodegas Muga winery. The 2016 vintage is characterised by its intense aroma with notes of ripe dark fruit, spices and tobacco. It is full-bodied on the palate with soft tannins and a long finish. This wine is a perfect accompaniment to grilled meat, cheese and tapas.",Tempranillo,Spain,Rioja,Bodegas Muga
419d7a8a-0b29-4d20-9812-1c00,BASIC,STANDARD_19,Syrah,6947-6999,15,"Dieser elegante Syrah stammt aus dem berühmten Barossa Valley in Australien und wurde von dem renommierten Weingut Penfolds produziert. Der Jahrgang 2017 besticht durch seine dunkle, tiefrote Farbe und seine komplexe Aromatik mit Noten von schwarzen Beeren, Schokolade und Gewürzen. Am Gaumen ist er vollmundig mit seidigen Tanninen und einem langen Abgang. Dieser Wein ist ein perfekter Begleiter zu rotem Fleisch, Wildgerichten und kräftigem Käse.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Syrah,Australien,Barossa Tal,Penfolds,2017,8b944727-f249-41af-8c13-c6d417810693.png,ac6a86f9-1627-4a5d-85bd-3bc848a2b431.png,3ecdf33b-9010-4c2a-8cc0-1702aa0c7bac.png,5f69c1ca-245c-4c8c-9677-761e93cb82f6.png,Syrah,"This elegant Syrah comes from the famous Barossa Valley in Australia and was produced by the renowned Penfolds winery. The 2017 vintage impresses with its dark, deep red colour and complex aroma with notes of black berries, chocolate and spices. It is full-bodied on the palate with silky tannins and a long finish. This wine is a perfect accompaniment to red meat, game dishes and strong cheeses.",Syrah,Australia,Barossa Valley,Penfolds
b9c66d9e-50b2-4442-9f43-925b,BASIC,STANDARD_19,Grüner Veltliner,6956-1405,1,"Dieser Grüne Veltliner stammt aus der renommierten Weinregion Wachau in Österreich und wurde von Franz Hirtzberger hergestellt. Der Jahrgang 2019 bietet ein komplexes Bouquet mit Noten von Zitrusfrüchten, grünem Apfel und einer subtilen Würze. Am Gaumen ist er saftig und frisch mit einer lebendigen Säure und einem mineralischen Abgang. Dieser Grüne Veltliner passt hervorragend zu leichten Gerichten wie Salaten, Fisch und Gemüse.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Grüner Veltliner,Österreich,Wachau,Franz Hirtzberger,2019,aaf33630-ecd9-4c0c-81c5-e6b9c777d719.png,75399b20-0f16-4e03-9c2a-35d476e119b2.png,04584f59-f957-4598-9b4c-ad2bc77ad5a9.png,e634ca31-1a65-409a-9d2a-3d966443f8cd.png,Green Veltliner,"This Green Veltliner comes from the renowned Wachau wine region in Austria and was produced by Franz Hirtzberger. The 2019 vintage offers a complex bouquet with notes of citrus fruit, green apple and a subtle spiciness. On the palate, it is juicy and fresh with a lively acidity and a mineral finish. This Grüner Veltliner is an excellent accompaniment to light dishes such as salads, fish and vegetables.",Green Veltliner,Austria,Wachau,Franz Hirtzberger
87f9d981-45a9-4638-a45d-75a7,BASIC,STANDARD_19,Malbec,3507-8669,12,"Dieser Malbec stammt aus der argentinischen Weinregion Mendoza und wurde von Catena Zapata produziert. Der Jahrgang 2018 präsentiert ein volles Bouquet von schwarzen Früchten wie Brombeeren, Cassis und Pflaumen, begleitet von würzigen Noten von Vanille und Tabak. Am Gaumen ist er saftig und intensiv mit seidigen Tanninen und einem langen Abgang. Dieser Malbec passt hervorragend zu gegrilltem Fleisch und kräftigen Gerichten.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Malbec,Argentinien,Mendoza,Catena Zapata,2018,4b781050-4f23-4998-af08-91a819f9aacc.png,1e73024a-36b0-478a-a49d-dfbfcb02c466.png,7d30af52-9db5-47b9-a7a0-0d374c4d80d6.png,6e32e1d2-3811-405a-a350-9e9ce6054516.png,Malbec,"This Malbec comes from the Argentinian wine region of Mendoza and was produced by Catena Zapata. The 2018 vintage presents a full bouquet of black fruits such as blackberries, cassis and plums, accompanied by spicy notes of vanilla and tobacco. On the palate, it is juicy and intense with silky tannins and a long finish. This Malbec is an excellent accompaniment to grilled meat and savoury dishes.",Malbec,Argentina,Mendoza,Catena Zapata
7c5da24d-cd43-4ca5-b5a5-5a7d,BASIC,STANDARD_19,Châteauneuf-du-Pape,5109-9170,17,"Châteauneuf-du-Pape Rotwein aus Frankreich,Rhône ist eine ausgezeichnete Wahl für Liebhaber von gehaltvollen Rotweinen. Dieser Wein wird aus den Trauben Grenache, Syrah und Mourvèdre hergestellt und stammt vom renommierten Weingut Domaine du Pegau. Der Jahrgang 2017 verspricht einen tiefen und komplexen Geschmack mit Noten von roten Früchten und Gewürzen. Ein perfekter Begleiter zu kräftigem Fleisch, Wild oder Käse. Der Preis von 50 Euro macht diesen Wein zu einer etwas teureren, aber dennoch lohnenswerten Investition in Qualität.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Granatapfel / Syrah / Monastrell,Frankreich,Rhone,Domaine du Pegau,2017,bd8563e0-b8e2-4d07-a9b9-bbf2a5aa43e2.png,d956a942-fe95-412a-92b3-ab650532e095.png,8935d20d-828f-46b8-b94e-2ad5fc69d0c9.png,ba797505-95a5-4055-9f96-d1ffde1a8243.png,Châteauneuf-du-Pape,"Châteauneuf-du-Pape red wine from France,Rhône is an excellent choice for lovers of full-bodied red wines. This wine is made from Grenache, Syrah and Mourvèdre grapes and comes from the renowned Domaine du Pegau winery. The 2017 vintage promises a deep and complex flavour with notes of red fruits and spices. A perfect accompaniment to strong meat, game or cheese. The price of 50 euros makes this wine a slightly more expensive but still worthwhile investment in quality.",Grenache / Syrah / Monastrell,France,Rhône,Domaine du Pegau
b46f9bb2-1d5a-4bfc-9684-4b4a,BASIC,STANDARD_19,Pinot Gris,5928-8593,7,"Elk Cove Vineyards in Oregon, USA, ist bekannt für seine hervorragenden Weißweine, darunter auch der Pinot Gris. Der Jahrgang 2019 hat ein delikates Bouquet von Birnen, Äpfeln und tropischen Früchten und ist damit eine ausgezeichnete Wahl für Weinliebhaber, die leichte und fruchtige Weine bevorzugen. Der Pinot Gris passt hervorragend zu leichten Gerichten wie Salaten, Fisch und Geflügel und ist mit einem Preis von 30 Euro eine erschwingliche Option für eine hohe Qualität.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Pinot Gris,USA,Oregon,Elk Cove Weingärten,2019,24613e58-1902-4f78-8847-156195d38fdc.png,f34be8f0-a818-4150-a047-090eb212e21f.png,a73257a3-d5ee-40a9-bcbe-c31b7e52e7b6.png,a387d17e-3505-4d23-b351-73f8912ee9d5.png,Pinot Gris,"Elk Cove Vineyards in Oregon, USA, is known for its excellent white wines, including Pinot Gris. The 2019 vintage has a delicate bouquet of pears, apples and tropical fruits, making it an excellent choice for wine lovers who prefer light and fruity wines. The Pinot Gris goes perfectly with light dishes such as salads, fish and poultry and, at a price of 30 euros, is an affordable option for high quality.",Pinot Gris,USA,Oregon,Elk Cove Vineyards
7cbdcda1-b07d-49cb-8b09-80c7,BASIC,STANDARD_19,Barolo,8256-6814,6,"Barolo, ein hochwertiger Rotwein aus Italien, ist ein Muss für jeden Weinliebhaber. Hergestellt aus der edlen Nebbiolo-Traube, die nur in der norditalienischen Region Piemont wächst, wird dieser Wein von Vietti produziert und im Jahr 2016 hergestellt. Der Barolo von Vietti ist ein tiefroter Wein mit intensiven Aromen von roten Früchten und Gewürzen, begleitet von einem vollen Körper und einem langen Abgang. Perfekt zu gegrilltem Fleisch oder einem kräftigen Käse. Ein echter Genuss für Kenner!",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Nebbiolo,Italien,Piemont,Vietti,2016,db6b6fd5-6b9c-46df-bf23-caf8ba4ecec8.png,ba57ab51-ce20-40de-b2c7-471c854e3f44.png,b538d4ec-5026-45c7-a4d6-5d512c402099.png,28e14538-33d7-4183-870c-1c828122783e.png,Barolo,"Barolo, a high-quality red wine from Italy, is a must for every wine lover. Made from the noble Nebbiolo grape, which only grows in the northern Italian region of Piedmont, this wine is produced by Vietti and was made in 2016. Vietti's Barolo is a deep red wine with intense flavours of red fruits and spices, accompanied by a full body and a long finish. Perfect with grilled meat or a strong cheese. A real treat for connoisseurs!",Nebbiolo,Italy,Piedmont,Vietti
138b30a1-bcb1-43aa-858e-7f58,BASIC,STANDARD_19,Chenin Weiß,1248-3464,18,"Der Chenin Blanc von Ken Forrester ist ein eleganter und erfrischender Weißwein aus Südafrika. Hergestellt aus der Chenin Blanc Traube, die in der Region Stellenbosch angebaut wird, ist dieser Wein bekannt für seine ausgeprägten Aromen von Zitrusfrüchten und Honig. Der Jahrgang 2019 bietet einen ausgewogenen Geschmack, der durch eine angenehme Säure ausgeglichen wird. Dieser Wein ist eine perfekte Ergänzung zu Fischgerichten und Salaten oder einfach nur als Aperitif zu genießen. Mit einem Preis von 22 Euro bietet der Chenin Blanc von Ken Forrester ein hervorragendes Preis-Leistungs-Verhältnis.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Chenin Weiß,Südafrika,Stellenbosch,Ken Forrester,2019,c5954c40-ca01-4022-a8e9-65771e446d78.png,2e87745f-da09-4ffd-a7e8-ddc25b460def.png,043c8e5a-f9c5-4508-afb2-c83bb1428c5e.png,9d1f2c56-d760-43fa-a8b3-1f1664fe9442.png,Chenin Blanc,"The Chenin Blanc from Ken Forrester is an elegant and refreshing white wine from South Africa. Made from the Chenin Blanc grape, which is grown in the Stellenbosch region, this wine is known for its distinctive flavours of citrus fruit and honey. The 2019 vintage offers a balanced flavour that is balanced by a pleasant acidity. This wine is a perfect accompaniment to fish dishes and salads or simply to be enjoyed as an aperitif. At a price of 22 euros, Ken Forrester's Chenin Blanc offers excellent value for money.",Chenin Blanc,South Africa,Stellenbosch,Ken Forrester
e1c9e2d2-6eab-4b8a-a127-d2ae,BASIC,STANDARD_19,Malvasier,1789-5950,2,"Malvasia Weißwein von Barbeito: Dieser Malvasia Weißwein aus Portugal,Madeira von Barbeito hat eine wunderschöne goldene Farbe und eine komplexe Nase mit Aromen von getrockneten Früchten, Honig, Zitrusfrüchten und Gewürzen. Am Gaumen ist er vollmundig und reichhaltig mit einer ausgewogenen Säure und einem langen, angenehmen Abgang. Dieser Jahrgang aus dem Jahr 2013 ist jetzt perfekt trinkreif und passt hervorragend zu würzigen Speisen oder Desserts.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Malvasia,Portugal,Madeira,Barbeito,2013,32249125-4de9-4853-a8b1-8805f19bd22f.png,ba3907a3-c326-4894-83bc-1811dafaa0b0.png,d151f1fa-f23b-45bf-b75a-ca1bad5bdefe.png,e40f81fb-8168-4808-8294-3633bb173a8d.png,Malmsey,"Malvasia white wine from Barbeito: This Malvasia white wine from Portugal,Madeira from Barbeito has a beautiful golden colour and a complex nose with aromas of dried fruit, honey, citrus and spices. On the palate, it is full-bodied and rich with a balanced acidity and a long, pleasant finish. This 2013 vintage is now perfectly ripe for drinking and is an excellent accompaniment to savoury dishes or desserts.",Malvasia,Portugal,Madeira,Barbeito
7b665fb9-9c5d-4265-b5a5-6576,BASIC,STANDARD_19,Zinfandel,6434-7181,15,"Zinfandel Rotwein von Ravenswood: Dieser Zinfandel Rotwein aus Kalifornien von Ravenswood hat eine tiefrote Farbe und eine komplexe Nase mit Aromen von schwarzen Kirschen, Gewürzen, Tabak und Schokolade. Am Gaumen ist er vollmundig und kräftig mit einer ausgewogenen Säure und weichen Tanninen. Der Jahrgang aus dem Jahr 2018 ist jetzt trinkreif und passt hervorragend zu gegrilltem Fleisch, reifen Käsesorten oder dunkler Schokolade.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Zinfandel,USA,Kalifornien,Ravenswald,2018,f2663732-122b-4255-91de-e906ece8a610.png,f5656c7a-bd79-460c-9e29-28ec628c48be.png,5c34b34a-23a6-4169-9ca5-3682b175acfd.png,3f0a3eb9-5bf9-41a8-8d21-cfca49d07b3f.png,Zinfandel,"Zinfandel red wine from Ravenswood: This Zinfandel red wine from California by Ravenswood has a deep red colour and a complex nose with aromas of black cherries, spices, tobacco and chocolate. On the palate, it is full-bodied and powerful with balanced acidity and soft tannins. The 2018 vintage is now ready to drink and goes perfectly with grilled meat, mature cheeses or dark chocolate.",Zinfandel,USA,California,Ravenswood
3d8cf5fb-9c7b-4a7f-a835-f6b0,BASIC,STANDARD_19,Shiraz,3361-8116,12,"Dieser australische Shiraz von Wynns aus Coonawarra ist ein kräftiger Rotwein mit einer tiefen, dunklen Farbe. Der Wein zeigt Noten von dunklen Beeren und Gewürzen, begleitet von einer leichten Rauchigkeit. Im Mund ist er vollmundig mit kräftigen Tanninen und einer ausgewogenen Säure, die ihn zu einem idealen Begleiter für kräftige Fleischgerichte wie Rind- oder Lammgerichte macht.",https://res.cloudinary.com/saas-ag/raw/upload/schemata2/n11showcase/custom_product_attributes_n11_v3.json,Shiraz,Australien,Coonawarra,Wynns,2018,6500ed4f-1eb4-4bf6-9d88-4e6db8a891b0.png,10b9acb4-4456-4640-9e12-d7bc6f70dd4a.png,f0549288-8840-4d1b-9fc7-50326c291a9b.png,1b072205-8705-425d-8bb6-f780b290a3ca.png,Shiraz,"This Australian Shiraz from Wynns in Coonawarra is a powerful red wine with a deep, dark colour. The wine shows notes of dark berries and spices, accompanied by a slight smokiness. In the mouth, it is full-bodied with strong tannins and a balanced acidity, which makes it an ideal accompaniment to strong meat dishes such as beef or lamb.",Shiraz,Australia,Coonawarra,Wynns
